names,Dice,IoU,Prec,Rec
154.mat,0.8322564297478778,0.7127047846370836,0.9619270757065456,0.7333928770793793
155.mat,0.8579343459993536,0.7512128072445019,0.9937961279281207,0.7547522339561332
156.mat,0.8580946612442676,0.7514586648480716,0.9490860369413341,0.7830240821160679
157.mat,0.8689131726944356,0.7682108497049074,0.9573803526448362,0.7954126904403147
158.mat,0.9315786658107313,0.8719206889645503,0.9750279955207167,0.8918365256580969
159.mat,0.0,0.0,0.0,0.0
160.mat,0.8825982005705508,0.7898664571877455,0.9862677783227072,0.7986497220015886
161.mat,0.9449672994097942,0.8956758391291201,0.9676576282260699,0.9233167082294265
162.mat,0.7457162440027416,0.594535519125683,0.966824644549763,0.6069170695425808
163.mat,0.8413145539906103,0.7260940032414911,0.9491525423728814,0.7554806070826307
164.mat,0.9348993288590604,0.8777567737870196,0.9261968085106383,0.9437669376693767
165.mat,0.8349514563106796,0.7166666666666667,0.7710222588623248,0.9104404964711609
166.mat,0.9191204443429962,0.8503449246797128,0.907179333133073,0.9313801079414032
167.mat,0.9516966067864271,0.9078446306169079,0.9847170590665014,0.9208188489764387
168.mat,0.8872085696282294,0.797281993204983,0.9676975945017182,0.8190808609656777
169.mat,0.7086315789473684,0.5487447016628627,0.9926275434974934,0.5509903421181863
170.mat,0.9363933686703507,0.8803944438553706,0.9752172891707775,0.9005422993492408
171.mat,0.0,0.0,0.0,0.0
172.mat,0.0,0.0,0.0,0.0
173.mat,0.5517176114318161,0.38094615786722424,0.9989718985606579,0.38109556804811084
174.mat,0.7978773584905661,0.6637237590739651,0.9825733372059251,0.6716299384554298
175.mat,0.896551724137931,0.8125,0.9786931818181818,0.8271308523409364
176.mat,0.9084563758389261,0.8322675848499754,0.9958799293702177,0.8351431391905232
177.mat,0.9413884472708002,0.8892671205446536,0.9975292003593891,0.8912301826209111
178.mat,0.38174588146184435,0.23589983618066931,0.998019801980198,0.2360103020369937
179.mat,0.0,0.0,0.0,0.0
180.mat,0.9058075700664547,0.8278320570372326,1.0,0.8278320570372326
181.mat,0.9582557247726525,0.919856962557846,0.9968087531342603,0.9225738396624472
182.mat,0.923006416131989,0.8570212765957447,0.9985126425384234,0.858116744780571
183.mat,0.02014846235418876,0.010176754151044456,0.04903225806451613,0.012679346012679346
184.mat,0.7300999629766753,0.574927113702624,0.9499036608863198,0.5929043896572459
185.mat,0.7073931388736012,0.5472608572239569,0.5652301377895046,0.9450980392156862
186.mat,0.0,0.0,0.0,0.0
187.mat,0.835933297471759,0.7181146025878004,0.9961538461538462,0.7201112140871178
188.mat,0.0,0.0,0.0,0.0
189.mat,0.916013685023728,0.8450417430258603,0.9918738049713193,0.8509329505843757
190.mat,0.928423338927831,0.8664086972544685,0.9849183074989527,0.8780578898225957
191.mat,0.8320958083832335,0.7124692370795734,0.9639289678135405,0.7319848293299621
192.mat,0.9131288343558283,0.8401445021449537,0.9712868702688593,0.861542023616578
193.mat,0.9426968417071172,0.8916050560457907,0.9402665995975855,0.9451396789280748
194.mat,0.9731748143697154,0.9477512121718776,0.9825793031721269,0.9639486438228042
195.mat,0.9675485661424607,0.937137122786897,0.9894051763281368,0.9466367388313663
196.mat,0.9380517147097883,0.883330881271149,0.959948836837477,0.9171312915298251
197.mat,0.19024167806657546,0.10511993549687564,0.9895635673624289,0.10523660579154474
198.mat,0.0,0.0,0.0,0.0
199.mat,0.0,0.0,0.0,0.0
